Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     65.34     0.00      500     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::emplace_back<unsigned int>(unsigned int&&)
  0.00     65.34     0.00      457     0.00     0.00  Packet::~Packet()
  0.00     65.34     0.00      375     0.00     0.00  std::vector<std::deque<flow_data_at_src, std::allocator<flow_data_at_src> >, std::allocator<std::deque<flow_data_at_src, std::allocator<flow_data_at_src> > > >::_M_default_append(unsigned long)
  0.00     65.34     0.00      312     0.00     0.00  DctcpQueue::DctcpQueue(unsigned int, double, unsigned int, int)
  0.00     65.34     0.00      234     0.00     0.00  LocalArbiter::receive(Packet*)
  0.00     65.34     0.00      232     0.00     0.00  Node::Node(unsigned int, unsigned int)
  0.00     65.34     0.00      131     0.00     0.00  Host::Host(unsigned int, double, unsigned int, unsigned int)
  0.00     65.34     0.00      130     0.00     0.00  SyncMessage::SyncMessage(Host*, Host*, double)
  0.00     65.34     0.00      130     0.00     0.00  SyncMessage::~SyncMessage()
  0.00     65.34     0.00      130     0.00     0.00  DelayRequestMessage::DelayRequestMessage(Host*, Host*)
  0.00     65.34     0.00      130     0.00     0.00  DelayResponseMessage::DelayResponseMessage(Host*, Host*, double)
  0.00     65.34     0.00      130     0.00     0.00  DelayResponseMessage::~DelayResponseMessage()
  0.00     65.34     0.00      125     0.00     0.00  LocalArbiter::receive_delay_request_message_from_host(Packet*)
  0.00     65.34     0.00      125     0.00     0.00  HeirScheduleHost::receive_sync_message(Packet*)
  0.00     65.34     0.00      125     0.00     0.00  HeirScheduleHost::receive_delay_response_message(Packet*)
  0.00     65.34     0.00      125     0.00     0.00  HeirScheduleHost::HeirScheduleHost(unsigned int, double, double, unsigned int)
  0.00     65.34     0.00      125     0.00     0.00  std::vector<std::vector<std::deque<flow_data_at_src, std::allocator<flow_data_at_src> >, std::allocator<std::deque<flow_data_at_src, std::allocator<flow_data_at_src> > > >, std::allocator<std::vector<std::deque<flow_data_at_src, std::allocator<flow_data_at_src> >, std::allocator<std::deque<flow_data_at_src, std::allocator<flow_data_at_src> > > > > >::_M_default_append(unsigned long)
  0.00     65.34     0.00      113     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00     65.34     0.00      103     0.00     0.00  GlobalArbiter::receive(Packet*)
  0.00     65.34     0.00       98     0.00     0.00  LocalArbiter::receive_core_schd(Packet*)
  0.00     65.34     0.00       98     0.00     0.00  LocalArbiter::generate_full_path(core_schd*)
  0.00     65.34     0.00       98     0.00     0.00  LocalArbiter::send_request_to_ga(HeirScheduleCoreRequestPkt*)
  0.00     65.34     0.00       98     0.00     0.00  GlobalArbiter::send_core_schd_to_la(HeirScheduleCoreSCHDPkt*)
  0.00     65.34     0.00       98     0.00     0.00  HeirScheduleHost::receive_schd_and_send_data(Packet*)
  0.00     65.34     0.00       98     0.00     0.00  HeirScheduleSCHDPkt::HeirScheduleSCHDPkt(double, Host*, Host*, SCHD*)
  0.00     65.34     0.00       98     0.00     0.00  HeirScheduleCoreSCHDPkt::~HeirScheduleCoreSCHDPkt()
  0.00     65.34     0.00       98     0.00     0.00  HeirScheduleCoreSCHDPkt::~HeirScheduleCoreSCHDPkt()
  0.00     65.34     0.00       98     0.00     0.00  HeirScheduleCoreRequestPkt::~HeirScheduleCoreRequestPkt()
  0.00     65.34     0.00       98     0.00     0.00  HeirScheduleCoreRequestPkt::~HeirScheduleCoreRequestPkt()
  0.00     65.34     0.00       98     0.00     0.00  void std::vector<core_rts*, std::allocator<core_rts*> >::emplace_back<core_rts*>(core_rts*&&)
  0.00     65.34     0.00       98     0.00     0.00  void std::vector<core_rts*, std::allocator<core_rts*> >::_M_realloc_insert<core_rts*>(__gnu_cxx::__normal_iterator<core_rts**, std::vector<core_rts*, std::allocator<core_rts*> > >, core_rts*&&)
  0.00     65.34     0.00       98     0.00     0.00  void std::vector<core_schd*, std::allocator<core_schd*> >::_M_realloc_insert<core_schd* const&>(__gnu_cxx::__normal_iterator<core_schd**, std::vector<core_schd*, std::allocator<core_schd*> > >, core_schd* const&)
  0.00     65.34     0.00       96     0.00     0.00  void std::vector<std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >, std::allocator<std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > > > >::_M_realloc_insert<std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > > const&>(__gnu_cxx::__normal_iterator<std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >*, std::vector<std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >, std::allocator<std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > > > > >, std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > > const&)
  0.00     65.34     0.00       60     0.00     0.00  BigSwitchTopology::get_next_hop(Packet*, Queue*)
  0.00     65.34     0.00       50     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_rehash(unsigned long, unsigned long const&)
  0.00     65.34     0.00       50     0.00     0.00  void std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::emplace_back<std::vector<unsigned int, std::allocator<unsigned int> > >(std::vector<unsigned int, std::allocator<unsigned int> >&&)
  0.00     65.34     0.00       40     0.00     0.00  void std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::_M_realloc_insert<std::vector<unsigned int, std::allocator<unsigned int> > const&>(__gnu_cxx::__normal_iterator<std::vector<unsigned int, std::allocator<unsigned int> >*, std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > > >, std::vector<unsigned int, std::allocator<unsigned int> > const&)
  0.00     65.34     0.00       25     0.00     0.00  CoreSwitch::CoreSwitch(unsigned int, unsigned int, double, unsigned int)
  0.00     65.34     0.00       25     0.00     0.00  LocalControlSwitch::LocalControlSwitch(unsigned int, unsigned int, double, unsigned int, double, unsigned int)
  0.00     65.34     0.00       25     0.00     0.00  AggSwitch::AggSwitch(unsigned int, unsigned int, double, unsigned int, double, unsigned int)
  0.00     65.34     0.00       25     0.00     0.00  ToRSwitch::ToRSwitch(unsigned int, unsigned int, double, unsigned int, double, unsigned int)
